,CV Mean,CV Std,Test Accuracy,Precision,Recall,F1-Score
Random Forest,0.5880524572417619,0.012377870986123477,0.575,0.5697359355699367,0.575,0.5709422422810557
Gradient Boosting,0.5986464288729676,0.012611238387128144,0.5892361111111111,0.5897083730192411,0.5892361111111111,0.5849634712104852
XGBoost,0.6094139739229025,0.009655056383251709,0.6034722222222222,0.6074497568375136,0.6034722222222222,0.5967629333107415
Logistic Regression,0.4584925836469339,0.01099018979281607,0.45625,0.4606723021787414,0.45625,0.4350264556994333
KNN,0.4294028471317605,0.009943670096321574,0.4309027777777778,0.4286413874931112,0.4309027777777778,0.42825674247384427
SVM,0.42705902174699667,0.007957977626492417,0.4239583333333333,0.42461956828005376,0.4239583333333333,0.3852665030733247
AdaBoost,0.3675781061538091,0.02699624269108888,0.3736111111111111,0.3372237986626502,0.3736111111111111,0.31233142478076575
